chipset,form_factor,m2_interfaces,manufacturer,memory_max_gb,memory_ram_type,memory_slots,name,sata_ports,socket
AMD B650E,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,96,DDR5,2,Gigabyte B650E AORUS TACHYON DDR5 ATX,4,AM5
AMD A520,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI A520 A520M PRO-VDH DDR4 Micro ATX,4,AM4
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,PRO Z690-A WIFI DDR4,6,LGA 1700
AMD X370,EATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,4,Asus AMD X370 ROG CROSSHAIR VI EXTREME AM4 DDR4 EATX,8,AM4
AMD B850,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI B850 PRO B850-VC WIFI6E AM5 DDR5 ATX,0,AM5
Intel H610,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,Asus H610 PRIME H610M-E LGA1700 DDR5 Micro ATX,4,LGA 1700
AMD X870E,EATX,"PCIe 5.0 x4, PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x2, PCIe 4.0 x4, PCIe 5.0 x4, PCIe 5.0 x4",MSI,256,DDR5,4,MSI MEG X870E GODLIKE X EDITION,4,AM5
AMD A520,Micro ATX,PCIe 3.0 x4,ASUS,128,DDR4,4,Asus TUF GAMING A520M-PLUS WIFI AM4 DDR4 Micro ATX,4,AM4
AMD X470,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI X470 GAMING PLUS AM4 DDR4 ATX,0,AM4
Intel B760,Micro ATX," PCIe 4.0 x4,  PCIe 4.0 x4",ASUS,64,DDR4,2,ASUS PRIME B760M-R D4-CSM,4,LGA 1700
AMD X870E,ATX,"PCIe 5.0 x4, PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI MPG X870E CARBON MAX WIFI,4,AM5
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI B650 PRO B650M-A AM5 DDR5 Micro ATX,4,AM5
AMD B450,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,32,DDR4,2,Gigabyte B450 M S2H DDR4 Micro ATX,0,AM4
AMD A320,Micro ATX,PCIe 3.0 x4,MSI,32,DDR4,2,MSI A320M-A PRO,4,AM4
Intel B460,ATX,"PCIE 3.0 x4 & SATA, PCIE 3.0 x4",ASUS,128,DDR4,4,ASUS PRIME B460-PLUS LGA 1200 Intel B460 SATA 6Gb/s ATX Intel Motherboard,6,LGA 1200
Intel H610,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,Asus H610 PRIME H610I-PLUS DDR5 Mini ITX,4,LGA 1700
Intel B560,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,2,MSI B560 M PRO-E DDR4 Micro ATX,0,LGA 1200
Intel H470,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,2,ASRock H510M HDV/M.2 SE DDR4 Micro ATX,0,LGA 1200
AMD A520,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,2,MSI A520M MAG VECTOR WIFI AM4 DDR4 Micro ATX,4,AM4
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI Z590 MEG UNIFY-X DDR4 ATX,6,LGA 1200
Intel H510,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus H510 PRIME H510M-K DDR4 Micro ATX,0,LGA 1200
