cache_l2,cache_l3,category,clock_base,clock_boost,clock_efficiency_base,clock_efficiency_boost,cores_efficiency,cores_performance,cores_total,integrated_graphics,manufacturer,memory_channels,memory_max_gb,memory_types,microarchitecture,name,opendb_id,part_id,release_year,series,socket,tdp,threads,variant
5,15,cpu,2.4,3.2,,,,6,6,None,Intel,,,,Haswell,Intel Xeon E5 2620 V3 2.4 GHz 6-Core LGA2011-3 OEM/Tray,0ad2e194-584e-46ec-ba59-d5aa4e129f59,cpu_0045,,Intel Xeon E5,LGA 2011-3,85,12,
2,20,cpu,2.7,3.5,,,,8,8,None,Intel,,,,Sandy Bridge,Intel Xeon E5 2680 2.7 GHz 8-Core LGA2011,0b4344ab-03a8-4344-a09e-3c39e80ba5c9,cpu_0046,,Intel Xeon E5,LGA 2011,130,16,
2,0,cpu,3.1,3.8,,,,4,4,AMD Radeon R7 (on-die),AMD,,,DDR4,Excavator,AMD A-Series A12 9800E 3.1 GHz 4-Core AM4,0b720985-1e1d-41a9-8ea8-aefcd398e2c5,cpu_0047,,AMD A12,AM4,35,4,
2,20,cpu,3,3.5,,,,8,8,None,Intel,,,,Haswell,Intel Core i7 Extreme 5960X 3 GHz 8-Core LGA2011-3,0ba1bc18-544b-4768-a779-9b2b69a24b01,cpu_0048,,Intel Core i7 Extreme,LGA 2011-3,140,16,
4,0,cpu,3.4,3.8,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A10 A10-7700K 3.4 GHz 4-Core FM2+,0cc5ca24-c9e0-4ed3-8cd8-7f032b1927ec,cpu_0049,,AMD A10,FM2+,95,4,
20,24,cpu,1.7,4.8,1.2,3.4,,,14,Intel UHD Graphics 770,Intel,,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i5 14500T 1.7 GHz 14-Core LGA1700 OEM/Tray,0ce6ea21-ea60-41c8-807f-d284a2e98b08,cpu_0050,,Intel Core i5,LGA 1700,35,20,
12,19.25,cpu,3.5,4.5,,,0,12,12,None,,4,,DDR4,Skylake-X,Intel Core i9-9920X,0cf9aff1-4f08-4f12-8557-ebbc10083495,cpu_0051,2018,,LGA 2066,165,24,
0,2,cpu,3.5,0,,,,2,2,Intel UHD Graphics 610,,2,,DDR4,Comet Lake,Intel Celeron Processor G5920,0d19c5b2-c8fc-432b-a4d4-aa31365c5261,cpu_0052,2020,,LGA 1200,58,2,
1,0,cpu,4,4.2,,,,2,2,AMD Radeon HD 8000 Series,AMD,,,,Piledriver,AMD A6 A6 6420K 4 GHz 2-Core FM2 OEM/Tray,0d8aec3a-63f3-40f6-9028-2f8eb82e95ec,cpu_0053,,AMD A6,FM2,65,2,
5,20,cpu,3.6,5.2,,,,10,10,Intel UHD Graphics 630,Intel,,,,Comet Lake,Intel Core i9 10850K 3.6 GHz 10-Core LGA1200,0e3a1478-3653-450c-ab32-b9755695c75b,cpu_0054,,Intel Core i9,LGA 1200,125,20,
8,5,cpu,3.8,4.5,,,,8,8,None,Intel,,,,Skylake,Intel Core i7 9800X 3.8 GHz 8-Core LGA2066,0e76b77a-5b18-453b-888e-80246be54522,cpu_0055,,Intel Core i7,LGA 2066,165,16,
2,0,cpu,3,3.5,,,,4,4,AMD Radeon R7 (on-die),AMD,,,DDR4,Excavator,AMD A-Series A10 9700E 3 GHz 4-Core AM4,0edb1176-bee6-412a-b9ba-6ccc45fa0887,cpu_0056,,AMD A10,AM4,35,4,
5,25,cpu,3,3.5,,,,10,10,None,Intel,,,,Broadwell,Intel Core i7 Extreme 6950X 3.0 GHz 10-Core LGA2011-3,0eef5725-3634-4a65-b249-49888874dc68,cpu_0057,,Intel Core i7 Extreme,LGA 2011-3,140,20,
1,8,cpu,3.5,3.9,,,,4,4,Intel HD Graphics 4600,Intel,,,,Haswell,Intel Core i7 4771 3.5 GHz 4-Core LGA1150,0f338d50-f775-4188-bd8c-ae3c7a353b94,cpu_0058,,Intel Core i7,LGA 1150,84,8,
14,25,cpu,3.1,4.4,,,,14,14,None,Intel,,,,Skylake,Intel Core i9 7940X 3.1 GHz 14-Core LGA2066,0f832db1-807c-4f85-b76c-3bf1e8d57cc5,cpu_0059,,Intel Core i9,LGA 2066,165,28,
3,32,cpu,3.8,4.4,,,,6,6,None,AMD,,,DDR4,Zen 2,AMD Ryzen 5 3600X 3.8 GHz 6-Core AM4,0f8f2a55-de64-490d-8f62-a11398b6f8f8,cpu_0060,,AMD Ryzen 5,AM4,95,12,
5,20,cpu,2.8,5.2,,,,10,10,None,Intel,,,,Comet Lake,Intel Core i9 10900F 2.8 GHz 10-Core LGA1200,10209f87-57b3-4216-8b3e-c9c213e46b07,cpu_0061,,Intel Core i9,LGA 1200,65,20,
2,20,cpu,3,3.5,,,,8,8,None,Intel,,,,Haswell,Intel Xeon E5 1660 V3 3 GHz 8-Core LGA2011-3 OEM/Tray,10213fa5-c67b-4d69-b8a0-913cd25b129f,cpu_0062,,Intel Xeon E5,LGA 2011-3,140,16,
6,32,cpu,3.8,5.2,,,,6,6,AMD Radeon,AMD,,,DDR5,Zen 5,AMD Ryzen 5 9600 3.8 GHz 6-Core AM5,103ad632-4a9b-4126-9ed9-9d7ef4793060,cpu_0063,,AMD Ryzen 5,AM5,65,12,
4,0,cpu,4,4.2,,,,4,4,None,AMD,,,,Steamroller,AMD Athlon X4 880K 4 GHz 4-Core FM2+,107f3722-b84b-43dd-a6a8-9dfe787bf03a,cpu_0064,,AMD Athlon X4,FM2+,95,4,
5,9,cpu,3,4.4,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i5 9500 3.0 GHz 6-Core LGA1151,11089f7c-893e-4f70-94c8-61078ed84f68,cpu_0065,,Intel Core i5,LGA 1151,65,6,
